mapXsize;mapYsize;DaysLimit;DisasterLevel;ChanceToAwakeFarmer;CocksNumber;HensNumber;DogsNumber;FoxesNumber;CockPushingForce;
24;12;999;0.5;0.005;3;1;3;5;2
24;12;999;0.5;0.005;3;2;3;5;2
24;12;999;0.5;0.005;3;3;3;5;2
24;12;999;0.5;0.005;3;4;3;5;2
24;12;999;0.5;0.005;3;5;3;5;2
24;12;999;0.5;0.005;3;6;3;5;2
24;12;999;0.5;0.005;3;7;3;5;2
24;12;999;0.5;0.005;3;8;3;5;2
24;12;999;0.5;0.005;3;9;3;5;2
24;12;999;0.5;0.005;3;10;3;5;2
24;12;999;0.5;0.005;3;11;3;5;2
24;12;999;0.5;0.005;3;12;3;5;2
24;12;999;0.5;0.005;3;13;3;5;2
24;12;999;0.5;0.005;3;14;3;5;2
24;12;999;0.5;0.005;3;15;3;5;2
24;12;999;0.5;0.005;3;16;3;5;2
24;12;999;0.5;0.005;3;17;3;5;2
24;12;999;0.5;0.005;3;18;3;5;2
24;12;999;0.5;0.005;3;19;3;5;2
24;12;999;0.5;0.005;3;20;3;5;2
